source,target,relation,weight
pelestarian lingkungan,kebudayaan zaman paleolithikum,has_subtopic,1
pelestarian lingkungan,efektivitas bioremediasi pencemaran tanah,has_subtopic,1
pelestarian lingkungan,q_96bf442aca,has_question,1
pelestarian lingkungan,implementasi program pemberdayaan,successor,1
pelestarian lingkungan,strategi pengembangan komunitas,successor,1
pelestarian lingkungan,model pemberdayaan top-down,peer,1
pelestarian lingkungan,model pemberdayaan bottom-up,peer,1
pelestarian lingkungan,keberlanjutan program,peer,1
pelestarian lingkungan,pembuatan pupuk organik,has_subtopic,1
kebudayaan zaman paleolithikum,kebudayaan paleolithikum,has_concept,1
kebudayaan zaman paleolithikum,kebudayaan,has_concept,1
kebudayaan paleolithikum,q_b126b50336,has_question,1
kebudayaan paleolithikum,kebudayaan zaman selanjutnya,successor,1
kebudayaan paleolithikum,kebudayaan,peer,1
kebudayaan,q_b126b50336,has_question,1
kebudayaan,kebudayaan zaman selanjutnya,successor,1
kebudayaan,kebudayaan paleolithikum,peer,1
kebudayaan,q_76b7eeecfd,has_question,1
kebudayaan,keragaman sosial budaya,successor,1
kebudayaan,perbandingan kebudayaan,peer,1
q_b126b50336,mengingat,requires_method,1
pengetahuan tentang zaman paleolithikum,kebudayaan paleolithikum,prerequisite,1
pengetahuan tentang zaman paleolithikum,kebudayaan,prerequisite,1
penataan ruang,asas penataan ruang,has_subtopic,4
penataan ruang,q_43d575743e,has_question,1
penataan ruang,kegiatan penataan ruang,successor,1
penataan ruang,asas penataan ruang untuk lingkungan,has_subtopic,1
penataan ruang,q_7c6f585786,has_question,1
penataan ruang,jenis-jenis asas penataan ruang,successor,1
penataan ruang,implementasi perencanaan tata ruang,successor,1
penataan ruang,perencanaan tata ruang,peer,1
penataan ruang,pengelolaan ruang optimal,peer,1
penataan ruang,q_ef276a4fa3,has_question,1
penataan ruang,pengendalian pemanfaatan ruang,prerequisite,2
penataan ruang,kualitas lingkungan,prerequisite,2
penataan ruang,kegagalan pengendalian,prerequisite,2
penataan ruang,upaya mitigasi dampak lingkungan,successor,1
penataan ruang,aspek hukum penataan ruang,successor,3
penataan ruang,peran pemerintah dalam keterpaduan lembaga,has_subtopic,1
penataan ruang,q_b3ea234429,has_question,1
penataan ruang,peran pemerintah dalam keterpaduan,prerequisite,2
penataan ruang,pemanfaatan dan pengelolaan ruang,prerequisite,2
penataan ruang,q_43d53bbd63,has_question,1
penataan ruang,implementasi rencana tata ruang,successor,1
penataan ruang,ruang,peer,1
asas penataan ruang,asas penataan ruang,has_concept,1
asas penataan ruang,penataan ruang,has_concept,4
asas penataan ruang,q_43d575743e,has_question,1
asas penataan ruang,kegiatan penataan ruang,successor,1
asas penataan ruang,q_7c6f585786,has_question,1
asas penataan ruang,jenis-jenis asas penataan ruang,successor,1
asas penataan ruang,implementasi perencanaan tata ruang,successor,1
asas penataan ruang,perencanaan tata ruang,peer,1
asas penataan ruang,pengelolaan ruang optimal,peer,1
asas penataan ruang,q_43d53bbd63,has_question,1
asas penataan ruang,implementasi rencana tata ruang,successor,1
asas penataan ruang,aspek hukum penataan ruang,successor,1
asas penataan ruang,ruang,peer,1
q_43d575743e,mengingat,requires_method,1
definisi ruang,asas penataan ruang,prerequisite,3
definisi ruang,penataan ruang,prerequisite,5
definisi ruang,konsep ruang abstrak (negara),prerequisite,1
definisi ruang,konsep ruang konkret (ruang tamu),prerequisite,1
definisi ruang,perencanaan tata ruang,prerequisite,1
definisi ruang,pengelolaan ruang optimal,prerequisite,1
definisi ruang,pengendalian pemanfaatan ruang,prerequisite,1
definisi ruang,kualitas lingkungan,prerequisite,1
definisi ruang,kegagalan pengendalian,prerequisite,1
definisi ruang,peran pemerintah dalam keterpaduan,prerequisite,1
definisi ruang,pemanfaatan dan pengelolaan ruang,prerequisite,1
definisi ruang,ruang,prerequisite,1
kegiatan penataan ruang,penataan ruang,prerequisite,1
kegiatan penataan ruang,perencanaan tata ruang,prerequisite,1
kegiatan penataan ruang,pengelolaan ruang optimal,prerequisite,1
kegiatan penataan ruang,asas penataan ruang,prerequisite,1
sejarah nusantara,komoditas jalur rempah,has_subtopic,1
sejarah nusantara,interkoneksi jalur rempah,has_subtopic,1
sejarah nusantara,peran jalur rempah sebagai melting pot,has_subtopic,1
komoditas jalur rempah,komoditas aromatik,has_concept,1
komoditas jalur rempah,kota pelabuhan kuno barus,has_concept,1
komoditas aromatik,q_a671df7a6e,has_question,1
komoditas aromatik,perdagangan internasional rempah-rempah,successor,1
komoditas aromatik,kota pelabuhan kuno barus,peer,1
kota pelabuhan kuno barus,q_a671df7a6e,has_question,1
kota pelabuhan kuno barus,perdagangan internasional rempah-rempah,successor,1
kota pelabuhan kuno barus,komoditas aromatik,peer,1
q_a671df7a6e,mengingat,requires_method,1
