id,type,label,bloom_level,difficulty,frequency
pelestarian lingkungan,topic_coarse,Pelestarian Lingkungan,C5-Mengevaluasi,5.0,1.0
kebudayaan zaman paleolithikum,topic_fine,Kebudayaan zaman Paleolithikum,,,
kebudayaan paleolithikum,concept,Kebudayaan Paleolithikum,C1-Mengingat,1.0,1.0
kebudayaan,concept,Kebudayaan,C1-Mengingat,1.0,2.0
q_b126b50336,question,Sebutkan dua kebudayaan yang berkembang pada zaman Paleolithikum yang disebutkan dalam teks,C1-Mengingat,1.0,
mengingat,method,Mengingat,,,
pengetahuan tentang zaman paleolithikum,concept,Pengetahuan tentang zaman Paleolithikum,,,
kebudayaan zaman selanjutnya,concept,Kebudayaan zaman selanjutnya,,,
penataan ruang,topic_coarse,Penataan Ruang,C6-Mencipta,5.0,5.0
asas penataan ruang,topic_fine,Asas Penataan Ruang,C6-Mencipta,5.0,3.0
q_43d575743e,question,Sebutkan lima dari 14 asas penataan ruang yang dijelaskan dalam teks!,C1-Mengingat,1.0,
definisi ruang,concept,Definisi Ruang,,,
kegiatan penataan ruang,concept,Kegiatan Penataan Ruang,,,
sejarah nusantara,topic_coarse,Sejarah Nusantara,,,
komoditas jalur rempah,topic_fine,Komoditas Jalur Rempah,,,
komoditas aromatik,concept,Komoditas aromatik,C1-Mengingat,1.0,1.0
kota pelabuhan kuno barus,concept,Kota pelabuhan kuno Barus,C1-Mengingat,1.0,1.0
q_a671df7a6e,question,Komoditas aromatik utama yang berasal dari kota pelabuhan kuno Barus adalah...,C1-Mengingat,1.0,
akar sejarah interkoneksi global nusantara,concept,Akar sejarah interkoneksi global Nusantara,,,
perdagangan internasional rempah-rempah,concept,Perdagangan internasional rempah-rempah,,,
perdagangan internasional,topic_coarse,Perdagangan Internasional,C6-Mencipta,5.0,9.0
faktor penghambat perdagangan,topic_fine,Faktor Penghambat Perdagangan,C6-Mencipta,5.0,1.0
faktor penghambat perdagangan internasional,concept,Faktor Penghambat Perdagangan Internasional,C1-Mengingat,1.0,1.0
kondisi politik dan keamanan negara,concept,Kondisi Politik dan Keamanan Negara,C1-Mengingat,1.0,1.0
