source,target,relation,weight
ilmu pengetahuan sosial,kehidupan zaman prasejarah,has_subtopic,1
ilmu pengetahuan sosial,konsep dasar ilmu sejarah,has_subtopic,2
ilmu pengetahuan sosial,peran komunitas dalam pembangunan,has_subtopic,1
kehidupan zaman prasejarah,paleolithikum,has_concept,1
kehidupan zaman prasejarah,kebudayaan zaman paleolithikum,has_concept,1
paleolithikum,q_b126b50336,has_question,1
paleolithikum,zaman neolitikum,successor,1
paleolithikum,kebudayaan zaman paleolithikum,peer,1
kebudayaan zaman paleolithikum,q_b126b50336,has_question,1
kebudayaan zaman paleolithikum,zaman neolitikum,successor,1
kebudayaan zaman paleolithikum,paleolithikum,peer,1
perencanaan wilayah,asas penataan ruang,has_subtopic,1
perencanaan wilayah,pengembangan wilayah perkotaan dan desa,has_subtopic,1
perencanaan wilayah,pengembangan wilayah perdesaan dan perkotaan,has_subtopic,1
perencanaan wilayah,efektivitas tata ruang wilayah,has_subtopic,1
perencanaan wilayah,pentingnya tata ruang,has_subtopic,1
perencanaan wilayah,kerangka rencana tata ruang,has_subtopic,1
perencanaan wilayah,pengukuran kesehatan sosial desa,has_subtopic,1
asas penataan ruang,penataan ruang,has_concept,4
asas penataan ruang,asas penataan ruang,has_concept,1
asas penataan ruang,q_43d575743e,has_question,1
asas penataan ruang,implementasi tata ruang,successor,1
asas penataan ruang,q_7c6f585786,has_question,1
asas penataan ruang,evaluasi dampak lingkungan,successor,1
asas penataan ruang,pemanfaatan ruang optimal,peer,1
asas penataan ruang,q_43d53bbd63,has_question,1
asas penataan ruang,implementasi kebijakan tata ruang,successor,1
asas penataan ruang,kampanye media sosial,peer,1
penataan ruang,q_43d575743e,has_question,1
penataan ruang,implementasi tata ruang,successor,1
penataan ruang,asas penataan ruang,peer,3
penataan ruang,asas dan kegiatan penataan ruang,has_subtopic,1
penataan ruang,q_7c6f585786,has_question,1
penataan ruang,evaluasi dampak lingkungan,successor,1
penataan ruang,pemanfaatan ruang optimal,peer,1
penataan ruang,hubungan kegagalan pengendalian ruang,has_subtopic,1
penataan ruang,q_b3ea234429,has_question,1
penataan ruang,implementasi kebijakan tata ruang,successor,2
penataan ruang,keterpaduan antar lembaga,peer,1
penataan ruang,peran pemerintah,peer,1
penataan ruang,peran sektor swasta,peer,1
penataan ruang,q_43d53bbd63,has_question,1
penataan ruang,kampanye media sosial,peer,1
konsep ruang,penataan ruang,prerequisite,1
konsep ruang,asas penataan ruang,prerequisite,1
konsep ruang,perbedaan ruang abstrak dan konkret,has_subtopic,1
konsep ruang,q_d5550baef8,has_question,1
konsep ruang,fungsi penataan ruang,successor,1
