Konteks;Pertanyaan;Level Kognitif
Pelestarian lingkungan hidup adalah upaya menjaga kondisi lingkungan dengan meningkatkan daya dukungnya untuk menjamin ketersediaan sumber daya alam secara berkesinambungan. Upaya ini mencakup pelestarian sumber daya udara, air, dan tanah. Pelestarian udara dapat dilakukan dengan memasang penyaring udara di pabrik, mengurangi penggunaan kendaraan bermotor untuk jarak dekat dengan bersepeda, dan menanam pohon yang memproduksi oksigen. Pelestarian air, yang merupakan sumber kehidupan, dilakukan dengan melindungi sumber air, mengatur siklus hidrologi melalui sumur resapan, melaksanakan program kali bersih, merawat pintu air, dan menegakkan aturan terhadap pembuang limbah. Pelestarian tanah bertujuan untuk melindungi, memperbaiki, dan meningkatkan produktivitas tanah melalui penggunaan pupuk organik yang lebih aman daripada pupuk kimia, serta melalui bioremediasi. Bioremediasi adalah proses pembersihan pencemaran tanah menggunakan mikroorganisme (jamur, bakteri) untuk memecah zat pencemar menjadi bahan tidak beracun. Di sisi lain, akal manusia sejak zaman praaksara telah digunakan untuk mengelola kebutuhan hidup dan menciptakan teknologi dari alam. Pada masa berburu dan mengumpulkan makanan tingkat sederhana, manusia hidup berpindah-pindah (nomaden) dalam kelompok, menempati gua atau cerukan di dekat sumber makanan. Aktivitas mereka adalah berburu hewan (rusa, kuda, gajah) dan mengumpulkan umbi-umbian serta buah-buahan. Penemuan penting pada masa ini adalah api dan alat-alat. Awalnya, api dikenal sebagai gejala alam (gunung berapi, petir), kemudian manusia menyadari manfaatnya untuk memasak, menghalau binatang buas, dan penerangan, hingga akhirnya belajar membuatnya dengan membenturkan batu atau menggosokkan dahan. Zaman ini secara arkeologis disebut Paleolithikum, ditandai dengan alat-alat dari batu, tulang, atau kayu yang masih kasar. Terdapat dua kebudayaan utama: Kebudayaan Pacitan, dengan ciri khas kapak genggam tanpa tangkai (chopper) yang permukaannya kasar, dan Kebudayaan Ngandong, yang banyak menemukan alat dari tulang untuk mengorek umbi-umbian serta alat serpih kecil (flakes) dari batu indah.;Sebutkan dua kebudayaan yang berkembang pada zaman Paleolithikum yang disebutkan dalam teks;C1-Mengingat
Ruang adalah bagian dari permukaan bumi yang digunakan untuk aktivitas manusia dengan batas-batas tertentu, mencakup daratan, lautan, dan udara. Menurut Mangunsukarjo (1990), ruang adalah lingkungan fisik dengan dimensi geografis dan geometris yang dapat diukur. Penataan ruang adalah kegiatan pemanfaatan dan pengelolaan ruang secara optimal untuk kesejahteraan masyarakat. Berdasarkan Undang-Undang Nomor 26 Tahun 2007, penataan ruang terdiri dari tiga kegiatan utama: 1) Perencanaan Tata Ruang, yaitu proses pengaturan, pembinaan, dan pengawasan untuk mewujudkan ruang yang aman, nyaman, produktif, dan berkelanjutan, serta harmonis antara lingkungan alam dan buatan. 2) Pemanfaatan Ruang, yaitu upaya mewujudkan struktur dan pola ruang sesuai rencana dengan mengembangkan penatagunaan tanah, air, udara, dan sumber daya alam lain, dengan memperhatikan daya dukung lingkungan. 3) Pengendalian Pemanfaatan Ruang, yaitu kegiatan pengawasan dan penertiban untuk memastikan pemanfaatan ruang sesuai rencana, karena seringkali pelaksanaan pembangunan bertentangan dengan rencana tata ruang yang ada. Penataan ruang berlandaskan pada 14 asas, di antaranya adalah: a) Keterpaduan, yaitu integrasi kebijakan lintas sektor, wilayah, dan pemangku kepentingan untuk mengurangi persaingan dan memperkuat sinergi. b) Keserasian, Keselarasan, dan Keseimbangan, yang menuntut harmoni antara struktur dan pola ruang, keselarasan antara manusia dan lingkungan karena sumber daya terbatas, serta keseimbangan pertumbuhan antara kota dan desa, di mana kota berfungsi sebagai pusat pemasaran (market center). c) Keberlanjutan, yang menjamin kelestarian daya dukung lingkungan untuk kepentingan generasi mendatang. d) Keberdayagunaan dan Keberhasilgunaan, yaitu mengoptimalkan manfaat ruang untuk mewujudkan tata ruang berkualitas dan mencegah pemborosan. e) Keterbukaan, yang memberikan akses informasi seluas-luasnya kepada masyarakat agar dapat berpartisipasi dan memberikan masukan. f) Kebersamaan dan Kemitraan, yang menekankan pelibatan seluruh pemangku kepentingan dalam proses penataan ruang.;Sebutkan lima dari 14 asas penataan ruang yang dijelaskan dalam teks!;C1-Mengingat
"Teks ini membahas tentang akar sejarah interkoneksi global Nusantara yang berpusat pada Jalur Rempah, jauh sebelum era kolonialisme Eropa. Nusantara, yang kaya akan rempah-rempah seperti kapur barus, telah menjadi pusat perdagangan internasional sejak awal masehi. Rempah-rempah ini tidak hanya digunakan sebagai bumbu masakan, tetapi juga untuk obat-obatan dan pengawet makanan. Bukti-bukti sejarah yang kuat mendukung klaim ini, di antaranya: catatan Claudius Ptolemaeus dalam karyanya 'Guide to Geography' (abad I) yang menyebut kota pelabuhan Barus di Sumatra; berita Cina tahun 131 M tentang utusan Kerajaan Jawa (Yediao) ke Cina; serta relief kapal di Candi Borobudur yang menggambarkan aktivitas pelayaran canggih. Selain sebagai daerah tujuan, Nusantara juga merupakan jalur persinggahan maritim strategis, seperti yang dialami oleh penjelajah Ibnu Batutah dari Maroko (1345) dan Tome Pires dari Portugis (1512-1515) yang mencatat pengalamannya dalam buku 'Suma Oriental'. Interaksi intensif selama ribuan tahun dengan berbagai bangsa (Arab, Cina, India, dll.) menjadikan Nusantara sebagai 'Melting Pot' kebudayaan. Proses ini ditandai oleh 'saling adopsi—dengan kontekstualisasi', di mana elemen-elemen budaya asing seperti bahasa, agama, dan arsitektur diserap dan disesuaikan dengan konteks lokal, menghasilkan produk budaya unik seperti candi dan masjid. Teks ini juga menghubungkan peristiwa global dengan sejarah lokal, yaitu jatuhnya Konstantinopel ke tangan Kesultanan Turki Utsmani pada tahun 1453. Pada masa itu (abad 14-15), dunia Islam merupakan pusat kemajuan ekonomi dan politik, sementara Eropa dianggap lebih terbelakang. Penguasaan Konstantinopel oleh Turki Utsmani mengganggu jalur perdagangan tradisional Eropa ke Asia, yang menjadi pemicu utama bagi bangsa Eropa untuk mencari rute pelayaran dunia baru, yang pada akhirnya membawa mereka ke Nusantara.";Komoditas aromatik utama yang berasal dari kota pelabuhan kuno Barus adalah...;C1-Mengingat
"Perdagangan internasional adalah kegiatan jual beli barang dan jasa antarnegara yang semakin umum di era globalisasi. Terdapat berbagai faktor yang mendorong dan menghambat kegiatan ini. 

Faktor Pendorong meliputi: 
1. Perbedaan Sumber Daya: Setiap negara memiliki sumber daya alam (SDA) dan sumber daya manusia (SDM) yang berbeda, sehingga hasil produksinya pun berbeda. 
2. Perbedaan Teknologi: Kemampuan penguasaan teknologi yang tidak merata dalam mengolah sumber daya alam menyebabkan perbedaan produk. 
3. Perbedaan Biaya Produksi: Negara yang mampu menekan biaya produksi dapat menjual barang dengan harga lebih murah. Hal ini mendorong negara lain yang biaya produksinya tinggi untuk mengimpor barang tersebut. 
4. Selera Masyarakat: Adanya ketertarikan konsumen pada produk impor yang dianggap lebih unik atau berkualitas tinggi. 
5. Pemenuhan Kebutuhan Domestik: Suatu negara perlu mengimpor barang yang tidak bisa diproduksi sendiri atau yang jumlah produksinya tidak mencukupi kebutuhan dalam negeri. 
6. Keuntungan dan Pendapatan: Perdagangan internasional menjadi peluang bagi perusahaan untuk meningkatkan keuntungan dan bagi negara untuk memperoleh pendapatan dengan menjual produk ke luar negeri. 
7. Kelebihan Produksi: Adanya surplus produk di dalam negeri yang perlu pasar baru untuk dijual. 
8. Era Globalisasi: Globalisasi menjadikan negara-negara saling bergantung dan tidak dapat hidup sendiri tanpa berinteraksi dengan negara lain. 

Sementara itu, Faktor Penghambat meliputi: 
1. Kebijakan Proteksi: Peraturan yang dibuat pemerintah suatu negara untuk melindungi industri dalam negerinya dari persaingan produk impor. 
2. Kurs Mata Uang Asing yang Tidak Stabil: Fluktuasi nilai tukar mata uang menciptakan ketidakpastian dalam transaksi dan pembayaran. 
3. Kondisi Geopolitik: Situasi politik dan keamanan suatu negara yang tidak stabil dapat mengganggu kelancaran perdagangan. 
4. Perbedaan Sistem Pembayaran: Kebijakan yang berbeda antarnegara mengenai metode pembayaran internasional dapat menyulitkan transaksi. 
5. Rendahnya Kualitas Sumber Daya: Kualitas SDA dan SDM yang rendah membuat suatu negara sulit bersaing dan menghasilkan produk yang memenuhi standar internasional.";Sebutkan salah satu faktor penghambat perdagangan internasional yang berkaitan dengan kondisi politik dan keamanan suatu negara.;C1-Mengingat
"Lembaga keuangan adalah badan usaha yang menghimpun dana dari masyarakat dalam bentuk simpanan dan menyalurkannya kembali dalam bentuk kredit atau bentuk lainnya untuk meningkatkan taraf hidup masyarakat. Lembaga keuangan terbagi menjadi dua kategori utama: Bank dan Industri Keuangan Non-Bank (IKNB).

Bank, menurut UU No. 10 Tahun 1998, adalah badan usaha yang menghimpun dana (simpanan) dan menyalurkannya kembali (kredit). Fungsi utamanya adalah sebagai penghimpun dana melalui produk seperti tabungan, deposito, dan giro, serta sebagai penyalur dana melalui produk kredit. Terdapat tiga jenis bank: 
1. Bank Sentral: Lembaga negara yang berwenang mengeluarkan alat pembayaran sah, merumuskan kebijakan moneter, mengatur sistem pembayaran, mengawasi perbankan, dan berfungsi sebagai 'lender of the last resort'. Di Indonesia, bank sentral adalah Bank Indonesia (UU No. 3 Tahun 2004).
2. Bank Umum: Bank yang melaksanakan kegiatan usaha (konvensional atau syariah) dan memberikan jasa dalam lalu lintas pembayaran.
3. Bank Perkreditan Rakyat (BPR): Bank (konvensional atau syariah) yang kegiatannya lebih sempit, tidak memberikan jasa dalam lalu lintas pembayaran, serta dilarang menerima simpanan giro, melakukan kegiatan valas, dan perasuransian.
Berdasarkan prinsipnya, bank dibagi menjadi Bank Konvensional yang berlandaskan hukum positif negara, dan Bank Syariah yang berlandaskan syariat Islam.

Industri Keuangan Non-Bank (IKNB) adalah badan usaha selain bank yang juga menghimpun dan menyalurkan dana. Contoh IKNB adalah:
1. Asuransi: Berdasarkan UU No. 40 Tahun 2014, asuransi adalah perjanjian antara perusahaan asuransi (penerima premi) dengan pemegang polis untuk memberikan penggantian atas kerugian atau pembayaran berdasarkan peristiwa tertentu (misalnya meninggal atau hidupnya tertanggung).
2. Dana Pensiun: Menurut OJK, ini adalah badan hukum yang mengelola program manfaat pensiun. Jenisnya meliputi:
   a. Dana Pensiun Pemberi Kerja (DPPK): Dibentuk oleh perusahaan untuk karyawannya.
   b. Dana Pensiun Lembaga Keuangan (DPLK): Dibentuk oleh bank atau asuransi jiwa untuk perorangan, baik karyawan maupun pekerja mandiri.
   c. Dana Pensiun Berdasarkan Keuntungan (DPBK): Jenis DPPK dengan iuran hanya dari pemberi kerja yang didasarkan pada keuntungan perusahaan.";Sebutkan dua fungsi utama bank sebagaimana dijelaskan dalam teks.;C1-Mengingat
"Teori perdagangan internasional adalah studi yang menjelaskan pola, manfaat, dan dampak dari aktivitas perdagangan antar negara. Teori-teori ini memberikan kerangka untuk memahami mengapa negara-negara melakukan ekspor dan impor. Terdapat empat teori utama yang berkembang secara historis:

1.  **Teori Merkantilisme:** Berkembang pada abad ke-16 hingga ke-18, teori ini berpandangan bahwa kemakmuran suatu negara diukur dari jumlah logam mulia (emas dan perak) yang dimilikinya. Untuk mencapai tujuan ini, negara harus memaksimalkan ekspor dan meminimalkan impor agar neraca perdagangan selalu surplus. Perdagangan dianggap sebagai 'zero-sum game', di mana keuntungan satu negara adalah kerugian bagi negara lain. Teori ini mendorong kebijakan proteksionisme seperti tarif tinggi dan kuota impor. Kelemahannya adalah dapat memicu perang dagang dan mengabaikan potensi keuntungan bersama dari perdagangan.

2.  **Teori Keunggulan Mutlak (Absolute Advantage):** Dikemukakan oleh Adam Smith, teori ini mengkritik merkantilisme. Menurut Smith, perdagangan dapat menguntungkan semua pihak ('positive-sum game'). Suatu negara dikatakan memiliki keunggulan mutlak jika mampu memproduksi suatu barang dengan menggunakan sumber daya (misalnya, jam kerja) yang lebih sedikit dibandingkan negara lain. Negara tersebut harus berspesialisasi dalam produksi dan ekspor barang di mana ia memiliki keunggulan mutlak, dan mengimpor barang yang diproduksi lebih efisien oleh negara lain. Kelemahannya adalah teori ini tidak dapat menjelaskan keuntungan perdagangan jika satu negara memiliki keunggulan mutlak dalam produksi semua jenis barang.

3.  **Teori Keunggulan Komparatif (Comparative Advantage):** Dikemukakan oleh David Ricardo sebagai penyempurnaan teori Adam Smith. Teori ini menyatakan bahwa meskipun sebuah negara memiliki keunggulan mutlak dalam semua produk, perdagangan tetap bisa saling menguntungkan. Kunci dari teori ini adalah konsep 'biaya peluang' (opportunity cost), yaitu nilai barang lain yang harus dikorbankan untuk memproduksi satu unit barang tertentu. Suatu negara sebaiknya berspesialisasi memproduksi dan mengekspor barang yang memiliki biaya peluang lebih rendah, dan mengimpor barang yang memiliki biaya peluang lebih tinggi. Kelemahannya, teori ini memiliki beberapa asumsi yang tidak selalu realistis, seperti tidak adanya biaya transportasi dan teknologi yang dianggap sama antar negara.

4.  **Teori Heckscher-Ohlin (H-O) atau Teori Proporsi Faktor:** Dikembangkan oleh Eli Heckscher dan Bertil Ohlin, teori ini menjelaskan 'mengapa' sebuah negara memiliki keunggulan komparatif. Menurut teori H-O, keunggulan komparatif muncul dari perbedaan dalam kepemilikan faktor produksi (tanah, tenaga kerja, modal) antar negara. Suatu negara akan mengekspor barang yang produksinya menggunakan secara intensif faktor produksi yang melimpah di negara tersebut, dan mengimpor barang yang produksinya memerlukan faktor produksi yang langka. Contoh, negara padat karya akan mengekspor produk tekstil. Kelemahannya adalah adanya fenomena seperti Paradoks Leontief, di mana studi menemukan pola perdagangan yang tidak sesuai dengan prediksi teori ini.";Konsep ekonomi utama apa yang menjadi dasar dari teori keunggulan komparatif David Ricardo?;C1-Mengingat
"Indonesia memiliki keanekaragaman hayati (flora dan fauna) yang sangat tinggi, menempati urutan ketujuh dunia untuk flora berbunga (>25.000 jenis) dan peringkat pertama untuk mamalia serta kupu-kupu swallowtail. Kekayaan ini, yang bersifat dapat diperbarui (renewable), memberikan manfaat signifikan dalam berbagai bidang. 

Secara ekonomi, keanekaragaman hayati menjadi penopang perekonomian melalui pertanian dan perikanan, menyumbang sekitar 32% GDP di beberapa negara berkembang. Sektor ini juga menjadi komoditas pariwisata alam dengan pendapatan 2-12 miliar dolar per tahun, dan nilai perdagangan produk pertanian mencapai 3 triliun dolar pada 1989. Lebih dari 600 jenis tanaman dan hewan dimanfaatkan untuk kebutuhan harian (sandang, pangan, papan, dll.), serta 7.000 jenis ikan menjadi sumber protein utama.

Dalam bidang kesehatan, banyak tumbuhan dan hewan dimanfaatkan sebagai obat tradisional maupun bahan pengobatan modern. Contohnya, lebih dari 3.000 antibiotik (penisilin, tetrasiklin) berasal dari mikroorganisme, siklosporin untuk transplantasi organ berasal dari kapang tanah, dan penemuan vitamin B1 (anti beri-beri) oleh Christiaan Eijkman berasal dari kulit ari beras.

Manfaat sosial meliputi penyediaan lapangan kerja, pembentukan budaya lokal dan jati diri masyarakat, serta peningkatan kemampuan adaptasi. Sementara itu, manfaat ekologis mencakup produksi oksigen dan penyaringan polutan oleh tumbuhan, serta perbaikan struktur dan kesuburan tanah oleh mikroorganisme.

Untuk menjaga kelestariannya, diperlukan pengelolaan berkelanjutan melalui strategi nasional yang berasaskan pada iptek, diversifikasi, pemanfaatan, dan keterpaduan. Salah satu model pengelolaan adalah berbasis bioregional, yaitu kawasan dengan batas geografis, sosial, dan ekologis yang jelas. Konsep ini memiliki delapan elemen, di antaranya berpusat pada kawasan konservasi, pengelolaan Daerah Aliran Sungai (DAS), rehabilitasi lahan kritis, pengelolaan pesisir, pengembangan pertanian berkelanjutan (agroforestri, pengurangan pupuk kimia), serta pelibatan kelembagaan masyarakat dan kawasan perkotaan (kebun binatang, sekolah) sebagai pendukung.

Optimalisasi pemanfaatan dilakukan melalui dua cara: 1) Investasi nasional dalam ekowisata berbasis sains, bioprospeksi (penemuan obat dan energi), dan eksplorasi laut. 2) Pengembangan sains dan teknologi untuk memahami, mengelola, dan meningkatkan nilai ekonomi biodiversitas dengan partisipasi masyarakat.";Sebutkan tiga manfaat sosial dari keanekaragaman flora dan fauna.;C1-Mengingat
"Letak Indonesia dapat ditinjau dari tiga perspektif: astronomis, geografis, dan geologis.

1. **Letak Astronomis (Absolut)**: Didasarkan pada garis lintang dan bujur, Indonesia berada di antara 6°LU–11°LS dan 95°BT–141°BT. Batas-batas terluarnya adalah Pulau We di utara (6º 08' LU), Pulau Rote di selatan (11º 15' LS), Pulau Beureuh di barat (95º 45' BT), dan Sungai Fly di Merauke di timur (141º 05' BT). Letak ini menimbulkan beberapa pengaruh:
    *   **Iklim**: Indonesia beriklim tropis, ditandai dengan suhu rata-rata tinggi (>18°C), kelembapan udara tinggi, dan penyinaran matahari sepanjang tahun selama kurang lebih 12 jam sehari. Kondisi ini mendukung keberadaan hutan hujan tropis yang luas, yang menjadi habitat beragam flora dan fauna serta pemasok oksigen global.
    *   **Pembagian Waktu**: Rotasi bumi menyebabkan perbedaan waktu 1 jam untuk setiap 15° bujur. Berdasarkan Keppres No. 41 Tahun 1987, Indonesia dibagi menjadi tiga zona waktu: Waktu Indonesia Barat (WIB/GMT+7) yang mencakup Sumatra, Jawa, Kalimantan Barat, dan Kalimantan Tengah; Waktu Indonesia Tengah (WITA/GMT+8) yang mencakup Bali, NTB, NTT, Kalimantan Selatan, Kalimantan Timur, Kalimantan Utara, dan seluruh Sulawesi; serta Waktu Indonesia Timur (WIT/GMT+9) yang mencakup Maluku dan Papua.
    *   **Keuntungan**: Selain memiliki hutan hujan tropis, letak astronomis menjadikan Indonesia memiliki lahan pertanian dan perkebunan yang subur untuk berbagai komoditas pangan.

2. **Letak Geografis**: Didasarkan pada posisi relatif terhadap wilayah lain, Indonesia terletak di antara dua benua (Asia dan Australia) dan dua samudra (Pasifik dan Hindia). Pengaruh letak geografis adalah:
    *   **Iklim & Musim**: Terjadinya dua musim (hujan dan kemarau) yang dipengaruhi oleh pergerakan angin muson. Angin muson barat laut yang basah membawa musim hujan, sedangkan angin muson tenggara yang kering membawa musim kemarau.
    *   **Posisi Silang Strategis**: Indonesia berada di jalur silang lalu lintas pelayaran dan perdagangan dunia. Posisi ini mendorong potensi Indonesia sebagai poros maritim dunia dan memungkinkan masuknya pengaruh budaya, perdagangan, dan teknologi dari negara lain.
    *   **Keuntungan**: Keuntungan letak geografis meliputi aspek ekonomi (berada di lintas perdagangan internasional melalui Selat Sunda dan Karimata), menjadi negara agraris karena dua musim yang mendukung pertanian, memiliki tanah yang subur akibat curah hujan yang merata, dan tingginya keberagaman budaya akibat akulturasi dengan bangsa lain yang singgah.

3. **Letak Geologis**: Didasarkan pada struktur batuan di dalam bumi. Indonesia dilalui oleh dua jalur pegunungan muda dunia (Sirkum Mediterania dan Sirkum Pasifik) dan merupakan pertemuan tiga lempeng dunia.";Sebutkan batas koordinat letak astronomis Indonesia secara lengkap!;C1-Mengingat
Proses geografis, terutama cuaca dan iklim, sangat memengaruhi aktivitas ekonomi dan kehidupan manusia. Salah satu fenomena iklim global adalah La Nina, yang ditandai dengan mendinginnya suhu permukaan laut di wilayah Pasifik tengah dan timur. Ambang batas kategori La Nina adalah ketika anomali suhu melewati -0.5ÂºC. Secara historis, La Nina dapat meningkatkan akumulasi curah hujan bulanan di Indonesia hingga 40% di atas normal, berpotensi memicu bencana hidrometeorologis seperti banjir dan tanah longsor. Dampak La Nina tidak seragam di seluruh Indonesia. Pengaruh cuaca dan iklim ini meluas ke berbagai bidang kehidupan: 1.  **Pertanian**: Menentukan waktu tanam dan jenis tanaman yang sesuai. 2.  **Perhubungan**: Faktor cuaca seperti angin, awan, kabut, dan tinggi gelombang sangat memengaruhi kelancaran serta keselamatan transportasi udara dan laut. 3.  **Industri**: Banyak industri tradisional, seperti industri garam, genteng, batu bata, dan kerupuk, yang sangat bergantung pada kondisi cuaca, khususnya panas matahari. 4.  **Kesehatan**: Cuaca tertentu dapat memicu penyebaran penyakit, contohnya demam berdarah dan malaria yang disebarkan oleh nyamuk. 5.  **Lingkungan Hidup**: Perubahan iklim seperti musim kemarau yang panjang dapat mengganggu siklus hidrologis dan berdampak buruk pada keberlangsungan ekosistem. Selain iklim, bentuk muka bumi juga merupakan aspek geografis penting yang dipengaruhi oleh dua jenis tenaga: 1.  **Tenaga Endogen**: Berasal dari dalam bumi, meliputi vulkanisme (aktivitas gunung api), tektonisme (pergerakan lapisan bumi), dan seisme (gempa). 2.  **Tenaga Eksogen**: Berasal dari luar atau permukaan bumi, seperti air, angin, organisme, sinar matahari, es, dan aktivitas manusia. ;Apa nama fenomena yang ditandai dengan mendinginnya suhu permukaan laut di Samudra Pasifik Ekuator?;C1-Mengingat
"Lembaga keuangan adalah badan usaha yang menghimpun dana dari masyarakat dalam bentuk simpanan dan menyalurkannya kembali dalam bentuk kredit atau bentuk lainnya untuk meningkatkan taraf hidup masyarakat. Lembaga keuangan terbagi menjadi dua kategori utama: Bank dan Industri Keuangan Non-Bank (IKNB).

Bank, menurut UU No. 10 Tahun 1998, adalah badan usaha yang menghimpun dana (simpanan) dan menyalurkannya kembali (kredit). Fungsi utamanya adalah sebagai penghimpun dana melalui produk seperti tabungan, deposito, dan giro, serta sebagai penyalur dana melalui produk kredit. Terdapat tiga jenis bank: 
1. Bank Sentral: Lembaga negara yang berwenang mengeluarkan alat pembayaran sah, merumuskan kebijakan moneter, mengatur sistem pembayaran, mengawasi perbankan, dan berfungsi sebagai 'lender of the last resort'. Di Indonesia, bank sentral adalah Bank Indonesia (UU No. 3 Tahun 2004).
2. Bank Umum: Bank yang melaksanakan kegiatan usaha (konvensional atau syariah) dan memberikan jasa dalam lalu lintas pembayaran.
3. Bank Perkreditan Rakyat (BPR): Bank (konvensional atau syariah) yang kegiatannya lebih sempit, tidak memberikan jasa dalam lalu lintas pembayaran, serta dilarang menerima simpanan giro, melakukan kegiatan valas, dan perasuransian.
Berdasarkan prinsipnya, bank dibagi menjadi Bank Konvensional yang berlandaskan hukum positif negara, dan Bank Syariah yang berlandaskan syariat Islam.

Industri Keuangan Non-Bank (IKNB) adalah badan usaha selain bank yang juga menghimpun dan menyalurkan dana. Contoh IKNB adalah:
1. Asuransi: Berdasarkan UU No. 40 Tahun 2014, asuransi adalah perjanjian antara perusahaan asuransi (penerima premi) dengan pemegang polis untuk memberikan penggantian atas kerugian atau pembayaran berdasarkan peristiwa tertentu (misalnya meninggal atau hidupnya tertanggung).
2. Dana Pensiun: Menurut OJK, ini adalah badan hukum yang mengelola program manfaat pensiun. Jenisnya meliputi:
   a. Dana Pensiun Pemberi Kerja (DPPK): Dibentuk oleh perusahaan untuk karyawannya.
   b. Dana Pensiun Lembaga Keuangan (DPLK): Dibentuk oleh bank atau asuransi jiwa untuk perorangan, baik karyawan maupun pekerja mandiri.
   c. Dana Pensiun Berdasarkan Keuntungan (DPBK): Jenis DPPK dengan iuran hanya dari pemberi kerja yang didasarkan pada keuntungan perusahaan.";Apa definisi lembaga keuangan secara umum?;C1-Mengingat
