id,type,label,bloom_level,difficulty,frequency
ilmu pengetahuan sosial,topic_coarse,Ilmu Pengetahuan Sosial,,,
kehidupan zaman prasejarah,topic_fine,Kehidupan Zaman Prasejarah,,,
paleolithikum,concept,Paleolithikum,C1-Mengingat,1.0,1.0
kebudayaan zaman paleolithikum,concept,Kebudayaan Zaman Paleolithikum,C1-Mengingat,1.0,1.0
q_b126b50336,question,Sebutkan dua kebudayaan yang berkembang pada zaman Paleolithikum yang disebutkan dalam teks,C1-Mengingat,1.0,
zaman neolitikum,concept,Zaman Neolitikum,,,
perencanaan wilayah,topic_coarse,Perencanaan Wilayah,,,
asas penataan ruang,topic_fine,Asas Penataan Ruang,C6-Mencipta,5.0,3.0
penataan ruang,concept,Penataan Ruang,C6-Mencipta,5.0,4.0
q_43d575743e,question,Sebutkan lima dari 14 asas penataan ruang yang dijelaskan dalam teks!,C1-Mengingat,1.0,
konsep ruang,concept,Konsep Ruang,C2-Memahami,2.0,1.0
implementasi tata ruang,concept,Implementasi Tata Ruang,,,
sejarah perdagangan,topic_coarse,Sejarah Perdagangan,,,
jalur rempah nusantara kuno,topic_fine,Jalur Rempah Nusantara Kuno,,,
jalur rempah,concept,Jalur Rempah,C6-Mencipta,5.0,6.0
komoditas aromatik,concept,Komoditas Aromatik,C1-Mengingat,1.0,1.0
barus,concept,Barus,C1-Mengingat,1.0,1.0
q_a671df7a6e,question,Komoditas aromatik utama yang berasal dari kota pelabuhan kuno Barus adalah...,C1-Mengingat,1.0,
konsep nusantara,concept,Konsep Nusantara,,,
dampak jalur rempah,concept,Dampak Jalur Rempah,,,
perdagangan internasional,topic_coarse,Perdagangan Internasional,C5-Mengevaluasi,5.0,16.0
faktor pendorong dan penghambat,topic_fine,Faktor Pendorong dan Penghambat,,,
faktor penghambat perdagangan internasional,concept,Faktor Penghambat Perdagangan Internasional,C1-Mengingat,1.0,1.0
kondisi politik dan keamanan,concept,Kondisi Politik dan Keamanan,C1-Mengingat,1.0,1.0
q_65af9f9a67,question,Sebutkan salah satu faktor penghambat perdagangan internasional yang berkaitan dengan kondisi politik dan keamanan suatu,C1-Mengingat,1.0,
pengertian perdagangan internasional,concept,Pengertian Perdagangan Internasional,,,
analisis dampak kebijakan perdagangan,concept,Analisis Dampak Kebijakan Perdagangan,,,
